Image,Island area (pixels),Island area (nm$^2$),Island area ($\Omega$)
image_151.jpg,31023.0,18.77,72.77
image_152.jpg,17985.0,10.88,42.19
image_153.jpg,30776.0,18.62,72.19
image_154.jpg,52038.0,31.49,122.06
image_155.jpg,21726.0,13.15,50.96
image_156.jpg,26842.0,16.24,62.96
image_157.jpg,16834.0,10.19,39.49
image_158.jpg,30483.0,18.45,71.5
image_159.jpg,27130.0,16.42,63.64
image_160.jpg,41641.0,25.2,97.67
image_161.jpg,41011.0,24.82,96.19
image_162.jpg,20780.0,12.58,48.74
image_163.jpg,61676.0,37.32,144.67
image_164.jpg,29713.0,17.98,69.69
image_165.jpg,24197.0,14.64,56.76
image_166.jpg,15883.0,9.61,37.25
image_167.jpg,29724.0,17.99,69.72
image_168.jpg,40401.0,24.45,94.76
image_169.jpg,14543.0,8.8,34.11
image_170.jpg,23625.0,14.3,55.41
image_171.jpg,28516.0,17.26,66.89
image_172.jpg,27704.0,16.77,64.98
image_173.jpg,22372.0,13.54,52.48
image_174.jpg,29999.0,18.15,70.37
image_175.jpg,64134.0,38.81,150.43
image_176.jpg,21886.0,13.24,51.34
image_177.jpg,106596.0,64.51,250.03
image_178.jpg,45231.0,27.37,106.09
image_179.jpg,30587.0,18.51,71.74
image_180.jpg,26912.0,16.29,63.12
