Theta_deg,Theta_rad,Gamma_mean,Gamma_std
0.0,0.0,1.0076028888888886,0.05877651596881274
1.0,0.017453292519943295,1.0085606111111116,0.05888361000183975
2.0,0.03490658503988659,1.0098338333333337,0.058884825155882836
3.0,0.05235987755982989,1.0114045555555553,0.05878009869488349
4.0,0.06981317007977318,1.0132521111111112,0.058573708929565246
5.0,0.08726646259971647,1.0153469444444445,0.05827336820821537
6.0,0.10471975511965978,1.017655611111111,0.05789063077297749
7.0,0.12217304763960307,1.0201396111111107,0.057441490786170016
8.0,0.13962634015954636,1.0227571111111113,0.05694321132583553
9.0,0.15707963267948966,1.0254655555555554,0.05641493371264798
10.0,0.17453292519943295,1.0282190000000004,0.05587658559619485
11.0,0.19198621771937624,1.03097261111111,0.05534735560644738
12.0,0.20943951023931956,1.0336828333333339,0.05484616519841857
13.0,0.22689280275926285,1.0363082777777777,0.05438773470625888
14.0,0.24434609527920614,1.03881,0.053985902408766766
15.0,0.2617993877991494,1.0411539444444444,0.053650076488474224
16.0,0.2792526803190927,1.0433099444444442,0.05338483087187909
17.0,0.29670597283903605,1.0452526666666668,0.053193475211825665
18.0,0.3141592653589793,1.046962166666667,0.05307430019714499
19.0,0.33161255787892263,1.0484244444444442,0.053022545353863096
20.0,0.3490658503988659,1.0496289444444447,0.05303143591302156
21.0,0.3665191429188092,1.0505712222222212,0.0530932556153746
22.0,0.3839724354387525,1.0512514444444434,0.05319982020773943
23.0,0.4014257279586958,1.0516729444444446,0.05334129476720037
24.0,0.4188790204786391,1.0518432222222218,0.05351013981434375
25.0,0.4363323129985824,1.0517714444444448,0.0536992394123896
26.0,0.4537856055185257,1.0514688888888883,0.053901369400135624
27.0,0.47123889803846897,1.0509492222222219,0.05411262055971331
28.0,0.4886921905584123,1.0502242222222224,0.05432936217548538
29.0,0.5061454830783556,1.0493078888888892,0.05454883434938407
30.0,0.5235987755982988,1.048213444444444,0.05477141242698525
